Empire State Building 
Brooklyn Bridge 
Central Park 
The Statue of Liberty 
One World Observatory 
The Metropolitan Museum of Art 
Chrysler Building 
The High Line 
Theatre District 
The 9/11 Memorial and Museum 
Rockefeller Center 
Grand Central Terminal 
Prospect Park 
Brooklyn Museum 
Whitney Museum of American Art 
New-York Historical Society 
Bronx Zoo Wildlife Conservation Society 
Solomon R. Guggenheim Museum 
Times Square 
New York Botanical Garden 
Brooklyn Flea 
Flushing Meadows–Corona Park 
Brookfield Place 
Chelsea Market 
Apollo Theater 
Smorgasburg 
Brooklyn Heights and Brooklyn Promenade 
Macy’s Herald Square 
Brooklyn Botanic Garden 
Coney Island Cyclone 
Yankee Stadium 
American Museum of Natural History 
Union Square 
Flatiron Building 
Roosevelt Island 
The Cloisters 
Intrepid Sea, Air & Space Museum 
Lincoln Center 
South Street Seaport 
Museum of Modern Art (MoMA) Radio City Music Hall 
Queens Museum 
St. Patrick’s Cathedral 
New York Public Library, Stephen A Schwarzman Building 
MoMA PS1 
Chinatown 
Washington Square Park arch 
Madame Tussauds New York 
Madison Square Garden 
Governors Island 		
